country,population_estimation_2020,month_year,vaccines,total_vaccinations,people_vaccinated,people_fully_vaccinated,monthly_vaccinations_raw,monthly_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,monthly_vaccinations_per_million
Afghanistan,39074280,2021-02,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",8200,8200,0,0,8202,0.02,0.02,0,204
Afghanistan,39074280,2021-03,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",54000,54000,0,0,85894,0.14,0.14,0,2154
Afghanistan,39074280,2021-04,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",240000,240000,0,0,219606,0.6,0.6,0,5511
Afghanistan,39074280,2021-05,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",600152,480226,119926,2859,285838,1.51,1.21,0.3,7171
Afghanistan,39074280,2021-06,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",886854,699200,187654,4015,242899,2.23,1.76,0.47,6097
Afghanistan,39074280,2021-07,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",1171064,742934,219159,0,337196,2.94,1.87,0.55,8466
Afghanistan,39074280,2021-08,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",1979652,773002,430744,0,591825,4.97,1.94,1.08,14854
Afghanistan,39074280,2021-09,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2369625,828601,0,0,563255,5.95,2.08,0,14132
Afghanistan,39074280,2021-10,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",0,0,0,0,1064777,0,0,0,26738
Afghanistan,39074280,2021-11,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",4018197,3530173,3188609,0,821215,10.09,8.86,8,20618
Afghanistan,39074280,2021-12,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",4674518,4142857,3753224,0,476498,11.73,10.4,9.42,11958
Afghanistan,39074280,2022-01,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",5125146,4554648,3892831,6868,399710,12.87,11.43,9.77,10038
Afghanistan,39074280,2022-02,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",5535254,4907058,4231984,0,406044,13.9,12.32,10.62,10195
Afghanistan,39074280,2022-03,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",5597130,4952744,4281934,0,71731,14.05,12.43,10.75,1800
Albania,2877239,2021-01,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",549,549,0,421,741,0.02,0.02,0,257
Albania,2877239,2021-02,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",10135,6073,655,2476,9504,0.35,0.21,0.02,3305
Albania,2877239,2021-03,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",138846,0,0,49296,78590,4.83,0,0,27354
Albania,2877239,2021-04,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",476903,0,0,295509,339023,16.6,0,0,118004
Albania,2877239,2021-05,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",776461,486128,290333,204550,333048,27.03,16.92,10.11,115927
Albania,2877239,2021-06,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",968034,564530,403504,134454,180622,33.69,19.65,14.05,62871
Albania,2877239,2021-07,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",1198933,670215,528718,140805,228113,41.73,23.33,18.4,79398
Albania,2877239,2021-08,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",1472316,830396,641920,140424,267844,51.25,28.9,22.34,93230
Albania,2877239,2021-09,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",1741373,946495,794878,198500,279183,60.61,32.95,27.67,97175
Albania,2877239,2021-10,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",1901824,1013959,887865,103442,178646,66.2,35.29,30.9,62180
Albania,2877239,2021-11,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2101039,1072645,961013,43268,195174,73.13,37.34,33.45,67934
Albania,2877239,2021-12,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2316606,1141486,1031132,65224,225969,80.64,39.73,35.89,78652
Albania,2877239,2022-01,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2523683,1210040,1111520,20290,202067,87.84,42.12,38.69,70329
Albania,2877239,2022-02,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2702638,1269746,1196277,16491,178941,94.07,44.2,41.64,62285
Albania,2877239,2022-03,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2708574,1270745,1198759,0,2779,94.28,44.23,41.73,967
Algeria,43984569,2021-01,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",30,30,0,30,1919,0,0,0,43
Algeria,43984569,2021-02,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",75000,75000,0,0,212612,0.17,0.17,0,4764
Algeria,43984569,2021-03,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",0,0,0,0,693439,0,0,0,15531
Algeria,43984569,2021-04,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",0,0,0,0,671070,0,0,0,15030
Algeria,43984569,2021-05,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",0,0,0,0,693439,0,0,0,15531
Algeria,43984569,2021-06,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",0,0,0,0,671070,0,0,0,15030
Algeria,43984569,2021-07,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",0,0,0,0,693439,0,0,0,15531
Algeria,43984569,2021-08,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",4146091,3421279,724812,0,2569903,9.29,7.67,1.62,57594
Algeria,43984569,2021-09,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",10049978,6017036,4032942,0,3923972,22.53,13.49,9.04,87950
Algeria,43984569,2021-10,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",11179354,6364327,4815027,0,1031025,25.06,14.26,10.79,23118
Algeria,43984569,2021-11,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",12293060,6875003,5391232,170756,973754,27.55,15.41,12.08,21824
Algeria,43984569,2021-12,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",12545356,7060737,5609040,0,573211,28.12,15.83,12.57,12847
Algeria,43984569,2022-01,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",12974545,7247787,5796432,0,579285,29.08,16.24,12.99,12988
Algeria,43984569,2022-02,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",13631683,7456361,6076272,0,306304,30.55,16.71,13.62,6866
Algeria,43984569,2022-03,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",0,0,0,0,0,0,0,0,0
American Samoa,55169,,,,,,,,,,,
Andorra,77287,2021-01,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",576,576,0,0,396,0.74,0.74,0,5118
Andorra,77287,2021-02,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2526,2390,0,0,1710,3.27,3.09,0,22108
Andorra,77287,2021-03,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",9288,7098,1265,0,8579,12.01,9.18,1.64,110908
Andorra,77287,2021-04,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",28503,23822,4681,4802,17392,36.85,30.8,6.05,224837
Andorra,77287,2021-05,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",35916,27613,8303,0,6692,46.43,35.7,10.73,86512
Andorra,77287,2021-06,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",68329,41716,26613,0,32200,88.33,53.93,34.4,416266
Andorra,77287,2021-07,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",82349,48445,33904,0,17752,106.46,62.63,43.83,229488
Andorra,77287,2021-08,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",95918,52910,43008,0,10473,124,68.4,55.6,135388
Andorra,77287,2021-09,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",102032,54312,47720,0,6488,131.9,70.21,61.69,83869
Andorra,77287,2021-10,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",104534,54999,49535,0,2268,135.14,71.1,64.04,29315
Andorra,77287,2021-11,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",0,0,0,0,1655,0,0,0,21394
Andorra,77287,2021-12,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",117246,57085,51392,0,13093,151.57,73.8,66.44,169260
Andorra,77287,2022-01,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",140193,57709,53104,0,21732,181.24,74.6,68.65,280937
Andorra,77287,2022-02,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",142420,57797,53250,0,1397,184.11,74.72,68.84,18060
Angola,33032075,2021-03,Oxford/AstraZeneca,130750,130750,0,0,123619,0.39,0.39,0,3643
Angola,33032075,2021-04,Oxford/AstraZeneca,456349,456349,0,0,371211,1.34,1.34,0,10938
Angola,33032075,2021-05,Oxford/AstraZeneca,909215,679034,230181,0,385967,2.68,2,0.68,11373
Angola,33032075,2021-06,Oxford/AstraZeneca,1488292,943301,544991,0,591825,4.39,2.78,1.61,17439
Angola,33032075,2021-07,Oxford/AstraZeneca,1592537,958373,634164,0,175073,4.69,2.82,1.87,5158
Angola,33032075,2021-08,Oxford/AstraZeneca,1841568,1110558,731010,0,301415,5.43,3.27,2.15,8883
Angola,33032075,2021-09,Oxford/AstraZeneca,3134137,2127405,1006732,0,1280419,9.24,6.27,2.97,37733
Angola,33032075,2021-10,Oxford/AstraZeneca,6164219,4498272,1665947,0,3069409,18.17,13.26,4.91,90455
Angola,33032075,2021-11,Oxford/AstraZeneca,9026310,6266044,2760266,0,3037952,26.6,18.47,8.13,89528
Angola,33032075,2021-12,Oxford/AstraZeneca,11615144,7685417,3929727,0,2146793,34.23,22.65,11.58,63264
Angola,33032075,2022-01,Oxford/AstraZeneca,14588435,9713546,4731866,0,3074376,42.99,28.63,13.94,90601
Angola,33032075,2022-02,Oxford/AstraZeneca,16259606,10591264,5448403,0,1844281,47.92,31.21,16.06,54349
Angola,33032075,2022-03,Oxford/AstraZeneca,16633167,10780927,5609044,0,93390,49.02,31.77,16.53,2752
Anguilla,15026,2021-02,"Oxford/AstraZeneca, Pfizer/BioNTech",3929,3929,0,1421,4265,25.98,25.98,0,281980
Anguilla,15026,2021-03,"Oxford/AstraZeneca, Pfizer/BioNTech",5348,5348,0,0,1708,35.36,35.36,0,112922
Anguilla,15026,2021-04,"Oxford/AstraZeneca, Pfizer/BioNTech",6898,6115,783,0,2627,45.61,40.43,5.18,173681
Anguilla,15026,2021-05,"Oxford/AstraZeneca, Pfizer/BioNTech",14443,9004,5439,0,6189,95.49,59.53,35.96,409187
Anguilla,15026,2021-06,"Oxford/AstraZeneca, Pfizer/BioNTech",15789,9264,6525,0,1619,104.39,61.25,43.14,107041
Anguilla,15026,2021-07,"Oxford/AstraZeneca, Pfizer/BioNTech",18193,9428,8765,0,2158,120.28,62.33,57.95,142676
Anguilla,15026,2021-08,"Oxford/AstraZeneca, Pfizer/BioNTech",18458,9493,8965,0,325,122.04,62.76,59.27,21487
Anguilla,15026,2021-09,"Oxford/AstraZeneca, Pfizer/BioNTech",18584,9498,9086,0,168,122.87,62.8,60.07,11106
Anguilla,15026,2021-10,"Oxford/AstraZeneca, Pfizer/BioNTech",18705,9548,9156,0,69,123.67,63.13,60.54,4562
Anguilla,15026,2021-11,"Oxford/AstraZeneca, Pfizer/BioNTech",19730,9911,9156,0,894,130.45,65.53,60.54,59109
Anguilla,15026,2021-12,"Oxford/AstraZeneca, Pfizer/BioNTech",20284,10079,9223,0,1102,134.11,66.64,60.98,72853
Anguilla,15026,2022-01,"Oxford/AstraZeneca, Pfizer/BioNTech",21449,10193,9336,0,764,141.81,67.39,61.73,50503
Anguilla,15026,2022-02,"Oxford/AstraZeneca, Pfizer/BioNTech",22165,10370,9531,0,727,146.55,68.56,63.01,48063
Anguilla,15026,2022-03,"Oxford/AstraZeneca, Pfizer/BioNTech",22377,10439,9549,0,72,147.95,69.02,63.13,4760
Antigua and Barbuda,98069,2021-02,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",0,0,0,0,10740,0,0,0,108780
Antigua and Barbuda,98069,2021-03,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",26836,26836,0,0,18580,27.18,27.18,0,188189
Antigua and Barbuda,98069,2021-04,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",29754,29754,0,225,3568,30.14,30.14,0,36140
Antigua and Barbuda,98069,2021-05,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",50329,33463,16866,3930,16565,50.98,33.89,17.08,167778
Antigua and Barbuda,98069,2021-06,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",63995,36432,27563,1686,16985,64.82,36.9,27.92,172037
Antigua and Barbuda,98069,2021-07,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",68850,38146,30704,1834,4947,69.74,38.64,31.1,50109
Antigua and Barbuda,98069,2021-08,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",75069,41061,34008,432,5234,76.04,41.59,34.45,53013
Antigua and Barbuda,98069,2021-09,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",93318,51148,42170,0,18246,94.52,51.81,42.71,184814
Antigua and Barbuda,98069,2021-10,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",106387,56269,50118,0,13762,107.76,56.99,50.76,139392
Antigua and Barbuda,98069,2021-11,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",117637,61418,56219,0,11860,119.15,62.21,56.94,120126
Antigua and Barbuda,98069,2021-12,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",121146,62283,58863,0,3235,122.71,63.09,59.62,32767
Antigua and Barbuda,98069,2022-01,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",123555,63197,60358,0,2549,125.15,64.01,61.14,25816
Antigua and Barbuda,98069,2022-02,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",124726,63582,61144,0,1076,126.33,64.4,61.93,10898
Antigua and Barbuda,98069,2022-03,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",125031,63704,61327,305,65,126.64,64.52,62.12,658
Argentina,45267449,2020-12,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",32013,0,0,0,31312,0.07,0,0,686
Argentina,45267449,2021-01,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",366384,281023,85361,118451,337978,0.8,0.62,0.19,7410
Argentina,45267449,2021-02,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",1025003,731571,293432,601076,523874,2.25,1.6,0.64,11487
Argentina,45267449,2021-03,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",3891932,3214538,677394,2698447,2760800,8.53,7.05,1.49,60537
Argentina,45267449,2021-04,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",7865213,6926650,938563,3973281,3796176,17.25,15.19,2.06,83241
Argentina,45267449,2021-05,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",12257297,9476406,2780891,4392084,4306511,26.88,20.78,6.1,94428
Argentina,45267449,2021-06,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",20543325,16504606,4038719,8286028,8007917,45.05,36.19,8.86,175593
Argentina,45267449,2021-07,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",31877998,24966105,6911893,11334673,10974459,69.9,54.74,15.16,240636
Argentina,45267449,2021-08,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",42260571,27873340,14387231,9867857,10488864,92.66,61.12,31.55,229990
Argentina,45267449,2021-09,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",51711461,29676037,22088966,9450890,9785210,113.39,65.07,48.43,214559
Argentina,45267449,2021-10,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",60055004,34209029,25954716,7494411,8216680,131.68,75.01,56.91,180167
Argentina,45267449,2021-11,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",68501283,36666900,29710785,5641519,8419808,150.2,80.4,65.15,184622
Argentina,45267449,2021-12,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",76606972,38198270,32656474,6021646,7968392,167.98,83.76,71.61,174726
Argentina,45267449,2022-01,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",87576885,39663948,34788229,6585562,11002649,192.03,86.97,76.28,241259
Argentina,45267449,2022-02,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",93548907,40345388,36079836,5799487,6559447,205.12,88.47,79.11,143831
Argentina,45267449,2022-03,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",94214135,40412075,36228146,532272,846284,206.58,88.61,79.44,18556
Armenia,2964219,2021-03,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",565,565,0,0,0,0.02,0.02,0,0
Armenia,2964219,2021-04,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",0,0,0,0,7830,0,0,0,2640
Armenia,2964219,2021-05,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",33529,33529,0,0,24064,1.13,1.13,0,8109
Armenia,2964219,2021-06,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",74714,58518,16196,0,43821,2.52,1.97,0.55,14763
Armenia,2964219,2021-07,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",152529,108674,43855,0,85342,5.14,3.66,1.48,28756
Armenia,2964219,2021-08,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",275138,176552,98586,0,108731,9.27,5.95,3.32,36630
Armenia,2964219,2021-09,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",408535,264695,143840,0,146487,13.76,8.92,4.85,49354
Armenia,2964219,2021-10,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",831856,579360,252496,0,363305,28.03,19.52,8.51,122400
Armenia,2964219,2021-11,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",1236264,799403,436861,0,437568,41.65,26.93,14.72,147420
Armenia,2964219,2021-12,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",1626738,934028,692082,0,418445,54.81,31.47,23.32,140979
Armenia,2964219,2022-01,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",1883413,1032249,842213,0,231142,63.45,34.78,28.38,77875
Armenia,2964219,2022-02,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",2031732,1087524,920978,0,148577,68.45,36.64,31.03,50060
Aruba,106845,2021-03,Pfizer/BioNTech,25766,15600,10166,0,2556,24.04,14.55,9.48,23844
Aruba,106845,2021-04,Pfizer/BioNTech,76865,54306,22559,32484,49393,71.71,50.66,21.04,460774
Aruba,106845,2021-05,Pfizer/BioNTech,114154,63113,51041,32613,39008,106.49,58.88,47.62,363898
Aruba,106845,2021-06,Pfizer/BioNTech,127256,67827,59429,12377,12931,118.71,63.27,55.44,120630
Aruba,106845,2021-07,Pfizer/BioNTech,138509,72793,65716,9009,11136,129.21,67.91,61.31,103886
Aruba,106845,2021-08,Pfizer/BioNTech,148225,78669,69556,6486,10505,138.28,73.39,64.89,98000
Aruba,106845,2021-09,Pfizer/BioNTech,156179,81374,74805,7158,8360,145.7,75.91,69.78,77989
Aruba,106845,2021-10,Pfizer/BioNTech,159406,82650,76756,2639,3437,148.71,77.1,71.6,32063
Aruba,106845,2021-11,Pfizer/BioNTech,161643,83640,78003,1775,2338,150.79,78.03,72.77,21810
Aruba,106845,2021-12,Pfizer/BioNTech,163759,84751,79008,1328,2004,152.77,79.06,73.7,18691
Aruba,106845,2022-01,Pfizer/BioNTech,166440,86627,79813,2050,2712,155.27,80.81,74.46,25300
Aruba,106845,2022-02,Pfizer/BioNTech,167820,87378,80442,1180,1495,156.56,81.51,75.04,13943
Aruba,106845,2022-03,Pfizer/BioNTech,168093,87511,80582,186,214,156.81,81.64,75.17,1997
Australia,25550683,2021-02,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",34630,34618,12,34610,33876,0.13,0.13,0,1315
Australia,25550683,2021-03,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",744330,671606,72724,709700,556918,2.89,2.6,0.28,21598
Australia,25550683,2021-04,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2234844,1976315,258529,1490514,1478905,8.67,7.66,1,57347
Australia,25550683,2021-05,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",4362739,3856485,506254,1910147,2044108,16.92,14.95,1.96,79263
Australia,25550683,2021-06,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",7742536,6109102,1633434,3153506,3325597,30.02,23.69,6.33,128956
Australia,25550683,2021-07,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",12334071,8407015,3927056,4591535,4357441,47.83,32.6,15.23,168969
Australia,25550683,2021-08,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",19663122,12293802,7369320,7329051,7076785,76.25,47.67,28.58,274420
Australia,25550683,2021-09,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",28035888,16649549,11386339,8372766,8272203,108.72,64.56,44.15,320774
Australia,25550683,2021-10,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",35603091,19052562,16529442,7567203,7985714,138.06,73.88,64.1,309666
Australia,25550683,2021-11,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",39282954,20025197,18808812,3679863,3931646,152.33,77.65,72.94,152459
Australia,25550683,2021-12,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",42580539,20444346,19755837,3297585,3285906,165.12,79.28,76.61,127420
Australia,25550683,2022-01,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",49866290,21683520,20211402,7285751,6914955,193.37,84.08,78.37,268144
Australia,25550683,2022-02,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",54065507,22055898,20483240,4199217,4561982,209.65,85.53,79.43,176903
Australia,25550683,2022-03,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",54492395,22093332,20524493,426888,558116,211.31,85.67,79.59,21642
Austria,9015361,2021-01,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",264754,242114,22633,0,265756,2.93,2.68,0.25,29392
Austria,9015361,2021-02,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",712429,460249,252132,0,435931,7.88,5.09,2.79,48210
Austria,9015361,2021-03,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",1630863,1190897,439940,0,998120,18.03,13.17,4.86,110373
Austria,9015361,2021-04,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",3302096,2414034,888440,0,1453097,36.52,26.69,9.82,160685
Austria,9015361,2021-05,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",5222559,3693418,1567975,0,2085793,57.75,40.84,17.34,230651
Austria,9015361,2021-06,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",7656201,4768824,2994020,0,2600958,84.66,52.73,33.11,287618
Austria,9015361,2021-07,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",9885721,5378674,4712507,0,1961864,109.32,59.48,52.11,216946
Austria,9015361,2021-08,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",10583765,5565688,5275650,0,799683,117.04,61.55,58.34,88434
Austria,9015361,2021-09,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",10983700,5781334,5469785,0,435692,121.46,63.93,60.49,48179
Austria,9015361,2021-10,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",11668453,5978629,5670635,0,623071,129.03,66.11,62.71,68902
Austria,9015361,2021-11,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",13902053,6396105,5872349,0,2354114,153.73,70.73,64.94,260322
Austria,9015361,2021-12,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",16559997,6660777,6280062,0,2452007,183.12,73.66,69.45,271148
Austria,9015361,2022-01,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",17624802,6770763,6479647,0,1163978,194.9,74.87,71.65,128715
Austria,9015361,2022-02,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",18026389,6799555,6563686,0,400535,199.34,75.19,72.58,44292
Austria,9015361,2022-03,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",18060574,6803599,6572038,0,20361,199.72,75.24,72.67,2251
Azerbaijan,10154978,2021-01,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",0,0,0,0,45500,0,0,0,4452
Azerbaijan,10154978,2021-02,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",65000,65000,0,0,217899,0.64,0.64,0,21311
Azerbaijan,10154978,2021-03,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",510420,510420,0,42090,379664,4.99,4.99,0,37143
Azerbaijan,10154978,2021-04,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",1488218,966132,522086,631855,811774,14.56,9.45,5.11,79405
Azerbaijan,10154978,2021-05,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2253216,1352958,900258,705985,707417,22.04,13.23,8.81,69198
