total_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,population,new_cases,new_deaths,%deaths,%cases,clusters
150252899,179.08,73.69,70.65,83900471,1313609,10317,0.133623803,8.522505195,1
165343282,197.07,75.19,73.43,83900471,2665111,5868,0.140617804,11.69902014,1
169983297,202.6,75.64,74.77,83900471,4929574,4970,0.14654149,17.57452232,1
170563324,203.29,75.71,74.93,83900471,5816024,6174,0.153900209,24.50657399,1
500000,1.58,1.58,0.0,31732128,6560,136,0.002341475,0.285461473,0
846588,2.67,2.67,0.0,31732128,1979,36,0.002454925,0.291698054,0
1228216,3.87,2.69,1.19,31732128,1336,6,0.002473833,0.295908298,0
1232876,3.89,2.69,1.2,31732128,2016,11,0.002508499,0.302261481,0
1271393,4.01,2.73,1.28,31732128,7105,27,0.002593586,0.324652037,0
1271393,4.01,2.73,1.28,31732128,16417,213,0.00326483,0.376388246,0
1623582,5.12,2.73,2.39,31732128,8046,120,0.003642996,0.401744251,0
2979766,9.39,6.77,2.62,31732128,2595,19,0.003702872,0.409922083,0
3493688,11.01,8.36,2.65,31732128,843,34,0.003810019,0.412578696,0
7755231,24.44,18.2,7.36,31732128,12066,86,0.004081037,0.45060325,0
10015888,31.56,21.67,9.89,31732128,13934,100,0.004396175,0.494514582,0
12511697,39.43,24.33,15.1,31732128,2754,47,0.00454429,0.503193483,0
12511697,39.43,24.33,15.1,31732128,1251,3,0.004553744,0.507135859,0
13286,39.43,38.25,1.19,33691,2074,70,0.228547683,12.21097623,1
36808,109.25,69.8,39.45,33691,125,16,0.276038111,12.58199519,1
60265,178.88,94.21,84.67,33691,35,1,0.279006263,12.6858805,1
71114,211.08,111.32,99.76,33691,17,0,0.279006263,12.73633908,1
77519,230.09,116.0,114.09,33691,13,0,0.279006263,12.74821169,1
78089,231.78,116.46,115.32,33691,53,0,0.279006263,12.90552373,1
78459,232.88,116.77,116.11,33691,617,0,0.279006263,14.73687335,1
78854,234.05,117.62,116.43,33691,389,3,0.287910718,15.89148437,1
79569,236.17,118.58,117.58,33691,195,0,0.287910718,16.47027396,1
89068,264.37,120.35,118.16,33691,443,1,0.29087887,17.78516518,1
98034,290.98,121.44,118.19,33691,1256,0,0.29087887,21.51316375,1
108323,321.52,122.21,118.92,33691,1453,2,0.296815173,25.82588822,1
111101,329.76,122.75,120.87,33691,4249,1,0.299783325,38.43756493,1
113009,335.43,124.37,121.41,33691,2478,0,0.299783325,45.79264492,1
113255,336.16,124.65,121.53,33691,1436,0,0.299783325,50.01632483,1
2339,0.02,0.02,0.0,10370747,33579,2432,0.046650449,1.33886209,0
271287,2.62,2.24,0.37,10370747,18107,958,0.05588797,1.513458963,0
885821,8.54,5.52,3.02,10370747,34143,708,0.062714865,1.842683078,0
1699807,16.39,10.54,5.85,10370747,72589,1589,0.078036809,2.542623015,0
3097693,29.87,20.77,9.1,10370747,81344,2288,0.100098865,3.3269831,0
5597624,53.98,35.18,19.85,10370747,57273,1714,0.116626122,3.8792384,0
8391535,80.92,46.66,36.53,10370747,20150,611,0.122517693,4.073534915,1
10536457,101.6,55.02,49.81,10370747,70848,259,0.125015103,4.756687247,1
11408609,110.01,58.4,55.33,10370747,94660,726,0.132015563,5.669446955,1
12162958,117.28,62.15,59.04,10370747,67803,1137,0.142979093,6.323237854,1
12892763,124.32,64.02,61.48,10370747,86403,1110,0.153682276,7.156379381,1
14516080,139.97,67.96,63.78,10370747,196733,2219,0.175078999,9.053378701,1
17469497,168.45,72.02,67.89,10370747,271950,2633,0.200467719,11.67565847,1
19361091,186.69,74.79,70.73,10370747,729870,2710,0.226598913,18.71343501,1
20147246,194.27,75.78,72.67,10370747,480941,2360,0.24935523,23.35091194,1
20233243,195.1,75.88,72.82,10370747,565218,1532,0.26412755,28.80103044,1
2584,4.54,4.54,0.0,56868,4,0,0.0,0.052753746,0
2584,4.54,4.54,0.0,56868,0,0,0.0,0.052753746,0
5130,9.02,6.91,2.12,56868,1,0,0.0,0.054512204,0
14139,24.86,15.59,9.27,56868,0,0,0.0,0.054512204,0
22376,39.35,24.68,14.67,56868,9,0,0.0,0.070338327,0
39270,69.05,49.29,19.77,56868,10,0,0.0,0.087922909,0
62050,109.11,63.87,45.24,56868,69,0,0.0,0.209256524,1
72589,127.64,70.12,57.52,56868,215,0,0.0,0.587325033,1
72589,127.64,70.12,57.52,56868,242,0,0.0,1.012871914,1
77164,135.69,70.55,65.14,56868,223,0,0.0,1.405008089,1
77655,136.55,70.73,65.82,56868,657,0,0.0,2.560315116,1
78500,138.04,71.12,66.91,56868,1155,1,0.001758458,4.591334318,1
79539,139.87,72.42,67.45,56868,8096,4,0.008792291,18.82781177,1
79703,140.15,72.5,67.65,56868,1018,13,0.031652247,20.61792221,1
79745,140.23,72.52,67.7,56868,246,4,0.036927622,21.05050292,1
3000,2.65,2.65,0.0,113015,0,0,0.000884838,0.130956068,0
10084,8.92,8.92,0.0,113015,7,0,0.000884838,0.137149936,0
15397,13.62,11.21,2.42,113015,5,0,0.000884838,0.141574127,0
25544,22.6,15.35,7.26,113015,1,0,0.000884838,0.142458966,0
31494,27.87,17.27,10.59,113015,0,0,0.000884838,0.142458966,0
37689,33.35,18.98,14.37,113015,3,0,0.000884838,0.145113481,0
42484,37.59,21.21,16.39,113015,297,1,0.001769677,0.407910454,0
55663,49.25,29.32,19.94,113015,4734,139,0.1247622,4.596734947,0
69622,61.6,33.81,27.8,113015,645,57,0.175197983,5.167455647,1
74708,66.1,35.71,30.4,113015,57,2,0.176967659,5.21789143,1
78476,69.44,36.53,31.37,113015,284,0,0.176967659,5.469185506,1
84131,74.44,37.58,32.54,113015,6155,10,0.185816042,10.91536522,1
85891,76.0,38.02,33.15,113015,1371,6,0.191125072,12.1187453,1
86011,76.11,38.05,33.18,113015,292,2,0.192894748,12.37180905,1
2224,0.01,0.01,0.0,18249868,15038,750,0.03503039,0.956401438,0
108165,0.59,0.59,0.01,18249868,19292,450,0.037479723,1.062111792,0
170833,0.94,0.93,0.01,18249868,33837,684,0.041227695,1.247521352,0
514240,2.82,2.39,0.43,18249868,26746,641,0.04474005,1.394075837,0
948878,5.2,4.32,0.88,18249868,39166,1050,0.050493516,1.608685608,0
2160074,11.84,10.0,1.84,18249868,74901,1124,0.056652465,2.019105015,0
4607145,25.24,18.37,6.87,18249868,101793,1587,0.065348418,2.576878912,0
6977782,38.23,24.78,13.45,18249868,90038,1638,0.074323825,3.070241385,0
8596046,47.1,29.21,17.89,18249868,41257,1530,0.082707448,3.296308773,0
10070646,55.18,32.84,22.34,18249868,16412,849,0.087359536,3.386238191,0
11310579,61.98,35.81,25.68,18249868,10375,164,0.088258173,3.443087917,0
13451175,73.71,37.95,28.98,18249868,61931,278,0.089781471,3.782438317,1
14535479,79.65,39.37,30.73,18249868,86701,586,0.092992453,4.257515726,1
14900511,81.65,39.86,31.32,18249868,49070,324,0.094767809,4.526394383,1
6673,10.53,9.7,0.82,63385,0,0,0.0,0.0,0
20047,31.63,22.01,8.42,63385,0,0,0.0,0.0,0
29383,46.36,33.92,12.44,63385,0,0,0.0,0.0,0
46587,73.5,52.01,21.48,63385,0,0,0.0,0.0,0
63791,100.64,52.01,21.48,63385,0,0,0.0,0.0,0
81164,128.05,52.01,21.48,63385,0,0,0.0,0.0,1
92775,146.37,52.01,21.48,63385,0,0,0.0,0.0,1
99443,156.89,52.01,21.48,63385,0,0,0.0,0.0,1
101986,160.9,52.01,21.48,63385,0,0,0.0,0.0,1
103064,162.6,52.01,21.48,63385,0,0,0.0,0.0,1
104131,164.28,52.01,21.48,63385,0,0,0.0,0.0,1
106109,167.4,52.01,21.48,63385,0,0,0.0,0.0,1
145743,229.93,85.42,81.01,63385,0,0,0.0,0.0,1
148014,233.52,85.42,81.01,63385,0,0,0.0,0.0,1
148344,234.04,85.42,81.01,63385,0,0,0.0,0.0,1
62645,0.46,0.44,0.02,13497237,3916,36,0.000926115,0.147496854,0
143534,1.06,0.71,0.36,13497237,2307,19,0.001066885,0.164589241,0
352700,2.61,1.96,0.65,13497237,962,17,0.001192837,0.171716626,0
572855,4.24,2.97,1.27,13497237,593,10,0.001266926,0.176110118,0
899257,6.66,4.16,2.51,13497237,1918,49,0.001629963,0.190320434,0
1223951,9.07,6.16,2.91,13497237,3813,117,0.002496807,0.21857066,0
1806301,13.38,9.09,4.29,13497237,910,42,0.002807982,0.225312781,0
2247181,16.65,11.22,5.43,13497237,242,6,0.002852436,0.22710574,0
2459403,18.22,12.29,5.93,13497237,117,2,0.002867253,0.227972584,0
2952253,21.87,15.02,6.86,13497237,1281,4,0.002896889,0.237463416,0
4749322,35.19,26.1,13.88,13497237,4115,28,0.003104339,0.267951137,0
4964952,36.78,26.17,13.9,13497237,231,21,0.003259926,0.269662598,0
5889,0.29,0.29,0.0,2015490,32,1,0.003373869,0.186852825,0
22883,1.14,1.08,0.05,2015490,93,1,0.003423485,0.191467087,0
25225,1.25,1.19,0.06,2015490,620,7,0.003770795,0.222228838,0
31090,1.54,1.39,0.15,2015490,1320,43,0.005904271,0.287721596,0
94715,4.7,4.33,0.37,2015490,308,16,0.006698123,0.30300324,0
139369,6.91,6.34,0.58,2015490,27,6,0.006995817,0.304342865,0
368395,18.28,17.33,0.95,2015490,306,7,0.007343127,0.319525277,0
413938,20.54,19.39,1.15,2015490,44,1,0.007392743,0.321708369,0
423400,21.01,19.66,1.2,2015490,1102,7,0.007740053,0.376384899,0
556675,27.62,25.52,16.78,2015490,415,11,0.008285826,0.396975425,0
558351,27.7,25.59,16.83,2015490,139,3,0.008434673,0.403872011,0
1852,0.23,0.23,0.0,790329,944,19,0.024673269,1.086256483,0
32714,4.14,4.14,0.0,790329,1664,36,0.029228334,1.296801712,0
126800,16.04,15.69,0.35,790329,3034,65,0.037452757,1.680692471,0
245614,31.08,23.69,7.39,790329,3669,93,0.049220008,2.144929517,0
341886,43.26,29.5,13.76,790329,3103,80,0.059342375,2.537550817,0
389336,49.26,31.72,17.54,790329,2468,72,0.068452505,2.849825832,0
474491,60.04,39.66,20.37,790329,3025,81,0.078701402,3.232577825,0
543180,68.73,45.2,23.53,790329,6279,164,0.099452253,4.027057086,1
621468,78.63,48.11,30.52,790329,3721,127,0.115521511,4.49787367,1
678619,85.87,50.68,35.18,790329,2326,81,0.125770407,4.792181484,1
715724,90.56,51.94,37.22,790329,1699,60,0.133362182,5.007155248,1
775229,98.09,53.58,39.59,790329,20316,114,0.147786555,7.577730287,1
808206,102.26,54.61,41.36,790329,3032,52,0.154366093,7.961367987,1
815448,103.18,54.85,41.76,790329,318,6,0.155125271,8.001604395,1
6576,0.06,0.06,0.0,11541683,1515,120,0.004722015,0.1739521,0
35741,0.31,0.25,0.06,11541683,819,41,0.005077249,0.181048119,0
67023,0.58,0.41,0.18,11541683,751,24,0.005285191,0.187554969,0
135597,1.17,0.83,0.34,11541683,2313,61,0.00581371,0.207595374,0
184769,1.6,1.02,0.58,11541683,1215,67,0.006394215,0.218122435,0
197175,1.71,1.07,0.64,11541683,810,28,0.006636814,0.225140476,0
224249,1.94,1.25,0.81,11541683,3232,20,0.006810099,0.253143324,0
234119,2.03,1.32,0.88,11541683,1125,106,0.007589881,0.262890603,0
239355,2.07,1.35,0.91,11541683,187,13,0.007217318,0.264510817,0
2684,0.03,0.03,0.0,10062994,22461,541,0.041250149,1.692379028,0
43073,0.43,0.43,0.0,10062994,18739,454,0.045761729,1.878595973,0
57639,0.57,0.55,0.03,10062994,23290,676,0.052479411,2.110038026,0
317257,3.15,2.08,0.27,10062994,25894,1072,0.063132304,2.367357071,0
684035,6.8,6.22,0.58,10062994,24533,652,0.069611489,2.611151313,0
1912232,19.0,15.03,1.93,10062994,34351,829,0.077849594,2.952510953,0
4077054,40.52,27.52,13.0,10062994,41646,1016,0.087945993,3.366363927,0
5196072,51.64,31.87,19.76,10062994,27237,927,0.097157963,3.6370289,0
6854692,68.12,38.17,29.5,10062994,9387,463,0.101749042,3.730311277,1
7960942,79.11,43.68,36.0,10062994,2478,163,0.103368838,3.754936155,1
9589064,95.29,48.85,42.7,10062994,1543,31,0.103676898,3.770269564,1
10272600,102.08,50.04,43.55,10062994,12472,79,0.104461952,3.894208821,1
11561083,114.89,53.81,45.35,10062994,19338,208,0.106528932,4.086378269,1
20678,0.27,0.27,0.0,7552800,553,18,0.002634784,0.145707552,0
505076,6.69,6.1,0.58,7552800,462,6,0.002714225,0.151824489,0
1413770,18.72,12.13,6.59,7552800,307,4,0.002767186,0.155889207,0
2400494,31.78,18.26,13.52,7552800,67,1,0.002780426,0.156776295,0
3729353,49.38,29.78,19.6,7552800,82,1,0.002793666,0.157861985,0
5663225,74.98,42.73,32.25,7552800,61,1,0.002806906,0.158669632,0
7588565,100.47,54.81,45.66,7552800,128,0,0.002806906,0.160364368,1
8677070,114.89,59.48,55.4,7552800,106,1,0.002820146,0.161754581,1
9043844,119.74,61.14,58.59,7552800,152,0,0.002820146,0.163462557,1
9457719,125.22,62.97,60.04,7552800,90,0,0.002820146,0.164654168,1
9925613,131.42,64.57,61.73,7552800,213,0,0.002820146,0.167474314,1
11125576,147.3,70.98,63.69,7552800,1548,0,0.002820146,0.187970024,1
13114676,173.64,81.63,68.95,7552800,261547,531,0.009850651,3.65088444,1
13571126,179.68,83.5,69.84,7552800,868044,6827,0.10024097,15.14389366,1
1094,0.01,0.01,0.0,9634162,105392,4714,0.098991485,3.34760823,0
299138,3.1,2.47,0.64,9634162,45072,2987,0.129995738,3.815443419,0
936938,9.73,7.11,2.61,9634162,61013,2450,0.155426076,4.448741883,0
2853155,29.61,21.44,8.17,9634162,223834,5763,0.21524446,6.77207836,0
5971865,61.99,41.76,20.23,9634162,126915,6803,0.285857763,8.089421789,1
8832277,91.68,53.73,37.94,9634162,25190,2193,0.308620511,8.350887187,1
9249943,96.01,56.95,51.04,9634162,3590,259,0.311308861,8.388150417,1
9249943,96.01,58.31,56.35,9634162,1363,34,0.311661772,8.402297989,1
9249943,96.01,59.91,57.18,9634162,2846,32,0.311993923,8.431838701,1
12111107,125.71,61.15,58.66,9634162,10368,132,0.313364048,8.539455741,1
12744317,132.28,61.81,59.54,9634162,40714,539,0.318958722,8.962056067,1
14282270,148.25,63.65,60.69,9634162,239689,3792,0.358318658,11.44996316,1
15074636,156.47,65.04,62.09,9634162,153307,4665,0.406740098,13.04124842,1
15927853,165.33,66.06,63.35,9634162,296990,2219,0.429772719,16.12392443,1
16143987,167.57,66.38,64.04,9634162,234139,2544,0.456178752,18.55422402,1
16143987,167.57,66.41,64.11,9634162,58767,1441,0.471135943,19.16420961,1
4875,1.32,1.32,0.0,368792,362,3,0.007863511,1.560229072,0
15522,4.21,2.9,1.31,368792,248,0,0.007863511,1.62747565,0
32157,8.72,5.31,3.41,368792,48,0,0.007863511,1.640219961,0
72987,19.79,13.36,6.43,368792,156,0,0.007863511,1.682520228,0
145261,39.39,29.67,9.82,368792,267,0,0.007863511,1.754918762,0
249800,67.73,46.47,24.92,368792,104,1,0.008134667,1.78311894,0
401582,108.89,70.33,52.11,368792,73,0,0.008134667,1.802913295,1
470374,127.54,72.97,68.99,368792,1310,0,0.008134667,2.158127074,1
527448,143.02,75.75,71.5,368792,2830,3,0.008948133,2.925497299,1
554603,150.38,76.39,74.98,368792,1012,0,0.008948133,3.199906722,1
570788,154.77,76.72,75.56,368792,1691,0,0.008948133,3.658430769,1
648600,175.87,77.47,76.25,368792,4402,2,0.009490444,4.852057528,1
716926,194.4,78.16,76.99,368792,9165,2,0.010032756,7.337198204,1
775708,210.34,83.41,77.62,368792,40614,9,0.012473156,18.34990998,1
801420,217.31,83.89,78.37,368792,62171,17,0.016811645,35.20792208,1
803609,217.9,83.93,78.49,368792,49969,35,0.026302089,48.75729408,1
3758843,0.27,0.27,0.0,1393409033,470901,5398,0.011080164,0.772035328,2
14301266,1.03,0.85,0.18,1393409033,354631,2765,0.011278598,0.797485931,2
65117896,4.67,4.0,0.67,1393409033,1109424,5770,0.01169269,0.877105337,2
151998107,10.91,9.0,1.91,1393409033,6943304,48926,0.015203935,1.375401519,2
210449895,15.1,12.0,3.1,1393409033,9010075,120042,0.023818921,2.022022488,2
329158139,23.62,19.48,4.14,1393409033,2236590,60190,0.028667749,2.182534581,2
461518479,33.12,25.82,7.3,1393409033,1244190,24892,0.030454159,2.271825663,2
644799225,46.27,35.67,10.61,1393409033,1155021,14669,0.031506901,2.354717403,2
886425292,63.62,46.57,17.04,1393409033,955862,9319,0.032175692,2.423316212,2
1062631351,76.26,52.64,23.62,1393409033,519107,10098,0.03290039,2.460570671,2
1237055142,88.78,56.63,32.15,1393409033,310962,10810,0.033676185,2.482887306,2
1448865422,103.98,60.69,43.29,1393409033,264803,12239,0.034554534,2.501891273,2
1664786038,119.48,67.68,50.95,1393409033,6607920,14756,0.03561352,2.97611814,2
1775178647,127.4,69.31,56.74,1393409033,1461546,17781,0.036889599,3.081008088,2
1789317128,128.41,69.43,57.58,1393409033,92170,7078,0.037397561,3.0876228,2
515681,0.19,0.18,0.01,276361788,335116,7860,0.010854612,0.390182017,0
2690163,0.97,0.61,0.36,276361788,256320,6168,0.013086469,0.482930006,0
11805314,4.27,2.93,1.34,276361788,177078,4692,0.014784244,0.547004711,0
20015745,7.24,4.48,2.76,276361788,156656,4663,0.016471525,0.603689827,0
27045507,9.79,5.94,3.85,276361788,153335,5057,0.018301372,0.659173257,0
42744641,15.47,10.59,4.87,276361788,356569,7913,0.021164648,0.788195798,0
67761337,24.52,17.09,7.43,276361788,1231386,35628,0.034056445,1.233766081,2
98966499,35.81,22.84,12.97,276361788,680143,38904,0.048133644,1.479872102,2
142192361,51.45,32.96,18.5,276361788,125303,8916,0.05135985,1.525212306,0
193361231,69.97,43.3,26.67,276361788,29254,1466,0.051890314,1.535797706,0
234839306,84.98,50.43,34.55,276361788,12051,425,0.052044098,1.540158294,1
274749184,99.42,58.29,41.13,276361788,6311,264,0.052139625,1.542441895,1
274749184,99.42,66.83,46.33,276361788,90650,226,0.052221402,1.575243101,1
274749184,99.42,69.1,52.27,276361788,1211078,4015,0.053674208,2.013465045,1
353698734,127.98,69.5,53.56,276361788,441198,6547,0.056043204,2.173110126,1
10000,0.01,0.01,0.0,85028760,213170,2114,0.070650213,1.918373266,0
319890,0.38,0.15,0.0,85028760,254395,2592,0.073698593,2.21756027,0
1068123,1.26,1.01,0.25,85028760,613513,9093,0.084392622,2.939096136,0
3141577,3.69,3.22,0.47,85028760,414059,8398,0.09426928,3.426059606,0
5717914,6.72,4.79,1.93,85028760,291421,4108,0.099100587,3.768791877,0
10168674,11.96,9.11,2.85,85028760,666451,6366,0.106587465,4.552586678,0
27057253,31.82,21.89,9.93,85028760,1121055,17164,0.126773576,5.871028814,0
51950783,61.1,42.7,18.4,85028760,594977,12634,0.141632078,6.570764998,1
85369917,100.4,61.39,38.91,85028760,337598,5875,0.148541505,6.967804776,1
104781077,123.23,67.49,54.71,85028760,192807,3527,0.152689514,7.194559817,1
116210697,136.67,69.97,60.21,85028760,76956,1776,0.154778219,7.285065665,1
132202293,155.48,71.47,63.64,85028760,178773,848,0.155775528,7.495315703,1
141526830,166.45,73.91,65.26,85028760,678255,4384,0.160931431,8.292992865,1
143232107,168.45,74.35,65.65,85028760,105317,3271,0.164778364,8.416853309,1
26727,0.06,0.06,0.0,41179351,155435,917,0.034781995,2.066385165,0
298377,0.72,0.72,0.0,41179351,214275,1142,0.03755523,2.586730908,0
582537,1.41,0.72,0.0,41179351,136153,910,0.039765075,2.917365065,0
805363,1.96,1.33,0.62,41179351,144552,811,0.041734509,3.268395366,0
1330393,3.23,2.01,1.2,41179351,280695,1471,0.045306688,3.950035541,0
3368843,8.18,2.01,1.2,41179351,261551,2173,0.050583604,4.585186396,0
7608508,18.48,11.36,7.12,41179351,115153,1430,0.054056219,4.86482412,0
9370826,22.76,14.32,8.44,41179351,51945,910,0.056266064,4.990967439,0
12268675,29.79,18.32,11.47,41179351,25924,650,0.057844525,5.053921321,0
14140578,34.34,20.6,13.69,41179351,12568,338,0.058665325,5.084441472,0
15622179,37.94,22.45,15.32,41179351,116842,231,0.059226286,5.368180766,0
16785945,40.76,23.98,16.49,41179351,92211,600,0.060683326,5.592106102,0
17014009,41.32,24.27,16.74,41179351,16072,171,0.061098583,5.631135372,0
2362,0.05,0.05,0.0,4982904,19235,186,0.0448935,1.841877748,0
206739,4.15,3.14,1.01,4982904,104768,1070,0.066366922,3.944426784,0
469453,9.42,6.34,3.08,4982904,23045,1012,0.086676364,4.4069081,0
941489,18.89,13.4,5.49,4982904,16262,368,0.094061615,4.733263976,0
1678231,33.68,24.02,9.66,4982904,13016,216,0.098396437,4.994477116,0
2991845,60.04,42.26,19.09,4982904,13173,41,0.099159045,5.258841029,0
4464844,89.6,53.47,37.77,4982904,9888,57,0.100302956,5.45727953,1
5998135,120.37,67.87,56.93,4982904,29068,37,0.101045495,6.040172558,1
6929551,139.07,74.89,68.92,4982904,51471,57,0.102189406,7.073124427,1
7295755,146.42,76.4,74.69,4982904,40368,157,0.105340179,7.825396596,1
7598571,152.49,77.2,75.92,4982904,55662,187,0.109093011,8.942456046,1
8345336,167.48,78.04,76.76,4982904,124521,216,0.113427832,11.4414205,1
9805942,196.79,78.56,77.48,4982904,218444,260,0.118645673,15.82528983,1
10407909,208.87,80.91,78.23,4982904,394449,224,0.123141044,23.74133638,1
10610302,212.93,81.38,79.75,4982904,122946,361,0.130385815,26.09767316,1
10642767,213.59,81.43,79.94,4982904,148390,233,0.135061803,29.07565548,1
6859,8.03,6.82,1.21,85410,57,0,0.029270577,0.50813722,0
21452,25.12,16.54,8.58,85410,50,0,0.029270577,0.566678375,0
50426,59.04,41.11,17.93,85410,1085,4,0.03395387,1.837021426,0
72617,85.02,66.55,18.47,85410,18,0,0.03395387,1.858096242,1
89507,104.8,71.79,33.01,85410,5,0,0.03395387,1.863950357,1
104999,122.94,74.04,48.89,85410,21,0,0.03395387,1.888537642,1
123947,145.12,75.95,69.17,85410,2720,0,0.03395387,5.073176443,1
127589,149.38,76.24,73.14,85410,2343,9,0.044491277,7.81641494,1
129319,151.41,76.64,74.77,85410,906,13,0.059711978,8.877180658,1
132309,154.91,79.47,75.44,85410,2109,6,0.066736916,11.34644655,1
133131,155.87,79.97,75.9,85410,1648,9,0.077274324,13.275963,1
177816,208.19,80.54,76.64,85410,2302,1,0.078445147,15.97119775,1
184858,216.44,80.96,77.39,85410,7926,4,0.083128439,25.25114155,1
187378,219.39,81.26,78.02,85410,1277,9,0.093665847,26.74628264,1
187844,219.93,81.29,78.09,85410,5237,2,0.096007493,32.87788315,1
991817,10.68,10.67,0.0,9291000,86071,453,0.035787321,4.555612959,0
4962764,53.41,33.47,19.95,9291000,220173,1471,0.051619847,6.925357873,0
8134160,87.55,50.9,36.65,9291000,132372,956,0.061909375,8.350091486,1
10071615,108.4,56.65,51.75,9291000,57298,461,0.066828113,8.966795824,1
10488450,112.89,58.35,54.54,9291000,5429,154,0.068485631,9.024658271,1
10631388,114.43,58.94,55.48,9291000,994,49,0.069013023,9.035356797,1
10823057,116.49,60.57,55.92,9291000,2302,20,0.069206759,9.060133462,1
11235330,120.93,62.6,58.17,9291000,32241,45,0.069669573,9.407146701,1
13814589,148.69,64.74,59.38,9291000,192334,570,0.075804542,11.47725756,1
15238256,164.01,66.15,61.03,9291000,215866,718,0.083532451,13.80064579,1
15977694,171.97,67.34,61.94,9291000,45240,339,0.087181143,14.28756861,1
16239371,174.79,68.37,62.38,9291000,17351,96,0.088214401,14.46195243,1
16759403,180.38,70.74,63.85,9291000,40272,47,0.088720267,14.89540415,1
17885626,192.5,72.05,65.62,9291000,1516637,562,0.094769131,31.21912604,1
18013798,193.88,72.11,65.88,9291000,733934,1393,0.109762135,39.11853407,1
18021959,193.97,72.11,65.9,9291000,259631,287,0.112851146,41.91296954,1
40776,0.07,0.07,0.0,60367471,505612,18583,0.122845961,3.490565308,0
2044491,3.39,2.32,1.07,60367471,445866,14357,0.146628637,4.229151823,0
4437634,7.35,4.97,2.39,60367471,372233,9183,0.161840472,4.845763706,0
10516141,17.42,12.0,5.42,60367471,659634,11647,0.181133975,5.93846146,0
20312215,33.65,23.72,10.03,60367471,437754,11461,0.200119366,6.663610274,0
35430458,58.69,39.44,20.34,60367471,195168,5321,0.208933715,6.986910219,1
52153511,86.39,57.04,31.41,60367471,42088,1438,0.211315793,7.056629886,1
68875031,114.09,63.89,52.46,60367471,90119,497,0.212139084,7.205913927,1
78082870,129.35,70.79,60.96,60367471,189963,1158,0.214057336,7.520591678,1
84985978,140.78,75.02,68.04,60367471,132364,1700,0.216873422,7.73985546,1
90009594,149.1,77.3,71.47,60367471,99610,1179,0.21882646,7.904861544,1
96670231,160.14,78.3,73.05,60367471,256582,1728,0.221688929,8.329895085,1
111324046,184.41,80.16,74.13,60367471,1097136,3574,0.227609336,10.14732421,1
128387521,212.68,83.16,76.39,60367471,4857433,9096,0.242677054,18.19376531,1
134140508,222.21,83.86,78.65,60367471,1799720,8269,0.256374828,21.17503978,1
134669393,223.08,83.91,78.88,60367471,1713743,4287,0.263476335,24.01389152,1
33000,1.11,1.11,0.0,2973462,15974,174,0.020043976,1.319572942,0
135473,4.56,4.56,0.0,2973462,6341,182,0.026164787,1.532826046,0
177883,5.98,5.24,0.75,2973462,2979,170,0.031882028,1.633012293,0
249983,8.41,5.82,2.59,2973462,1567,127,0.036153144,1.685711807,0
300902,10.12,6.01,4.11,2973462,2771,115,0.04002069,1.778902841,0
542888,18.26,13.54,4.86,2973462,15236,328,0.051051602,2.291302193,0
755782,25.42,17.79,8.53,2973462,15606,351,0.062856024,2.816144952,0
919992,30.94,19.9,12.71,2973462,5277,367,0.07519854,2.99361485,0
1108662,37.29,22.44,17.12,2973462,2235,156,0.080444949,3.068779759,0
1208785,40.65,23.96,19.06,2973462,2671,81,0.083169047,3.15860771,0
1303898,43.85,25.06,20.85,2973462,30592,185,0.089390751,4.187442113,0
1359844,45.73,25.8,21.92,2973462,3474,155,0.094603529,4.304275622,0
1368995,46.04,25.92,22.09,2973462,741,69,0.096924057,4.329196068,0
28530,0.02,0.02,0.0,126050796,41896,2144,0.006264935,0.343223537,0
1002739,0.8,0.7,0.1,126050796,42450,1279,0.007279605,0.376900436,0
4365615,3.46,2.64,0.83,126050796,117685,1067,0.008126089,0.470263591,0
16659793,13.22,10.03,3.19,126050796,153716,2816,0.010360109,0.592211254,0
50966868,40.43,26.36,14.07,126050796,53096,1724,0.011727812,0.634333955,0
89081552,70.67,40.65,30.02,126050796,127021,408,0.012051491,0.735103648,0
130900617,103.85,57.43,46.42,126050796,567768,874,0.012744862,1.185531585,1
164859014,130.79,70.73,60.06,126050796,210700,1584,0.014001498,1.35268642,1
189319619,150.19,77.82,72.38,126050796,17271,615,0.014489397,1.366388039,1
197266161,156.5,79.18,77.31,126050796,4293,93,0.014563177,1.369793809,1
199596362,158.35,79.65,78.27,126050796,5660,32,0.014588563,1.374284062,1
205744165,163.22,80.4,79.17,126050796,1006164,423,0.014924142,2.172505122,1
227761986,180.69,80.7,79.53,126050796,2267421,4855,0.018775764,3.971320419,1
234925595,186.37,80.78,79.61,126050796,1444542,4255,0.022151387,5.117320322,1
59132,58.5,43.85,14.66,101073,0,0,0.0,0.0,0
82738,81.86,51.85,30.01,101073,0,0,0.0,0.0,0
108577,107.42,60.31,47.11,101073,0,0,0.0,0.0,1
122930,121.62,69.59,52.04,101073,0,0,0.0,0.0,1
142066,140.56,73.48,67.08,101073,0,0,0.0,0.0,1
148729,147.15,75.45,71.7,101073,0,0,0.0,0.0,1
154921,153.28,76.6,73.29,101073,0,0,0.0,0.0,1
172720,170.89,78.11,73.86,101073,0,0,0.0,0.0,1
